"id","type","date","description","amount","category"
"1","Income","2022-05-10","Lee's Trading Co, Ltd","3371684","Salary"
"2","Income","2022-06-10","Lee's Trading Co, Ltd","2661784","Salary"
"3","Income","2022-07-10","Lee's Trading Co, Ltd","2419430","Salary"
"4","Income","2022-08-10","Lee's Trading Co, Ltd","2000360","Salary"
"5","Income","2023-01-10","Lee's Trading Co, Ltd","2768935","Salary"
"6","Income","2023-02-10","Lee's Trading Co, Ltd","2341820","Salary"
"7","Income","2023-03-10","Lee's Trading Co, Ltd","1923330","Salary"
"8","Income","2023-04-10","Lee's Trading Co, Ltd","1779030","Salary"
"9","Income","2023-05-10","Lee's Trading Co, Ltd","1779030","Salary"
"10","Income","2023-06-10","Lee's Trading Co, Ltd","1894470","Salary"
"11","Income","2023-07-10","Lee's Trading Co, Ltd","1995480","Salary"
"12","Income","2023-08-10","Lee's Trading Co, Ltd","2688120","Salary"
"13","Income","2023-09-10","Lee's Trading Co, Ltd","2262435","Salary"
"14","Income","2023-10-10","Lee's Trading Co, Ltd","2417840","Salary"
"15","Income","2023-11-10","Lee's Trading Co, Ltd","2352905","Salary"
"16","Income","2023-12-10","Lee's Trading Co, Ltd","3168200","Salary"
"17","Income","2024-01-10","Lee's Trading Co, Ltd","3156785","Salary"
"18","Income","2024-02-10","Lee's Trading Co, Ltd","2291480","Salary"
"19","Income","2024-03-10","Lee's Trading Co, Ltd","2557700","Salary"
"20","Income","2024-04-10","Lee's Trading Co, Ltd","1832990","Salary"
"21","Income","2024-05-10","Lee's Trading Co, Ltd","2361535","Salary"
"22","Income","2024-06-10","Lee's Trading Co, Ltd","2959130","Salary"
"23","Income","2024-07-10","Lee's Trading Co, Ltd","3461990","Salary"
"24","Income","2024-08-10","Lee's Trading Co, Ltd","2604170","Salary"
"25","Income","2024-09-10","Lee's Trading Co, Ltd","2404505","Salary"
"26","Income","2024-10-10","Lee's Trading Co, Ltd","2678120","Salary"
"27","Income","2024-11-10","Lee's Trading Co, Ltd","2826020","Salary"
"28","Income","2024-12-10","Lee's Trading Co, Ltd","2792480","Salary"
"29","Expense","2024-01-01","Pending","6900","Shoping"
"30","Expense","2024-01-03","Master Card Bill","327758","Master Card Bill"
"31","Expense","2024-01-06","Pending","24060","Shoping"
"32","Expense","2024-01-06","Pending","2900","Car Rent"
"33","Expense","2024-01-12","JB Bank","1022402","Loan"
"34","Expense","2024-01-14","Pending","139640","Shoping"
"35","Expense","2024-01-14","Pending","28990","Shoping"
