No,??,????,,,,,,???,,,
1,"1,205",1,4,16,23,31,41,2,,,
2,"1,204",8,16,28,30,31,44,27,,,
3,"1,203",3,6,18,29,35,39,24,,,
4,"1,202",5,12,21,33,37,40,7,,,
5,"1,201",7,9,24,27,35,36,37,,,
6,"1,200",1,2,4,16,20,32,45,,,
7,"1,199",16,24,25,30,31,32,7,,,
8,"1,198",26,30,33,38,39,41,21,,,
9,"1,197",1,5,7,26,28,43,30,,,
10,"1,196",8,12,15,29,40,45,14,,,
11,"1,195",3,15,27,33,34,36,37,,,
12,"1,194",3,13,15,24,33,37,2,,,
13,"1,193",6,9,16,19,24,28,17,,,
14,"1,192",10,16,23,36,39,40,11,,,
15,"1,191",1,4,11,12,20,41,2,,,
16,"1,190",7,9,19,23,26,45,33,,,
17,"1,189",9,19,29,35,37,38,31,,,
18,"1,188",3,4,12,19,22,27,9,,,
19,"1,187",5,13,26,29,37,40,42,,,
20,"1,186",2,8,13,16,23,28,35,,,
21,"1,185",6,17,22,28,29,32,38,,,
22,"1,184",14,16,23,25,31,37,42,,,
23,"1,183",4,15,17,23,27,36,31,,,
24,"1,182",1,13,21,25,28,31,22,,,
25,"1,181",8,10,14,20,33,41,28,,,
26,"1,180",6,12,18,37,40,41,3,,,
27,"1,179",3,16,18,24,40,44,21,,,
28,"1,178",5,6,11,27,43,44,17,,,
29,"1,177",3,7,15,16,19,43,21,,,
30,"1,176",7,9,11,21,30,35,29,,,
31,"1,175",3,4,6,8,32,42,31,,,
32,"1,174",8,11,14,17,36,39,22,,,
33,"1,173",1,5,18,20,30,35,3,,,
34,"1,172",7,9,24,40,42,44,45,,,
35,"1,171",3,6,7,11,12,17,19,,,
36,"1,170",3,13,28,34,38,42,25,,,
37,"1,169",5,12,24,26,39,42,20,,,
38,"1,168",9,21,24,30,33,37,29,,,
39,"1,167",8,23,31,35,39,40,24,,,
40,"1,166",14,23,25,27,29,42,16,,,
41,"1,165",6,7,27,29,38,45,17,,,
42,"1,164",17,18,23,25,38,39,22,,,
43,"1,163",2,13,15,16,33,43,4,,,
44,"1,162",20,21,22,25,28,29,6,,,
45,"1,161",2,12,20,24,34,42,37,,,
46,"1,160",7,13,18,36,39,45,19,,,
47,"1,159",3,9,27,28,38,39,7,,,
48,"1,158",21,25,27,32,37,38,20,,,
49,"1,157",5,7,12,20,25,26,28,,,
50,"1,156",30,31,34,39,41,45,7,,,
51,"1,155",10,16,19,27,37,38,13,,,
52,"1,154",4,8,22,26,32,38,27,,,
53,"1,153",1,9,10,13,35,44,5,,,
54,"1,152",30,31,32,35,36,37,5,,,
55,"1,151",2,3,9,15,27,29,8,,,
56,"1,150",8,9,18,35,39,45,25,,,
57,"1,149",8,15,19,21,32,36,38,,,
58,"1,148",3,6,13,15,16,22,32,,,
59,"1,147",7,11,24,26,27,37,32,,,
60,"1,146",6,11,17,19,40,43,28,,,
61,"1,145",2,11,31,33,37,44,32,,,
62,"1,144",3,4,12,15,26,34,6,,,
63,"1,143",10,16,17,27,28,36,6,,,
64,"1,142",2,8,28,30,37,41,22,,,
65,"1,141",7,11,12,21,26,35,20,,,
66,"1,140",7,10,22,29,31,38,15,,,
